MARKERS	FST	RANKING	QUARTILE
1_00004693_00375438	0.584698	76	10
1_00004693_00375441	0.584698	77	10
1_00002560_00204773	0.583333	78	10
1_00005271_00421626	0.583333	79	10
1_00005445_00435568	0.583333	80	10
1_00012852_01028159	0.583333	81	10
1_00018938_01515029	0.583333	82	10
1_00016551_01324017	0.579365	83	10
1_00003753_00300234	0.577465	84	10
1_00010885_00870744	0.577465	85	10
1_00013177_01054096	0.577465	86	10
1_00016537_01322902	0.577465	87	10
1_00018155_01452379	0.577465	88	10
1_00008876_00710080	0.574074	89	10
1_00009105_00728364	0.574074	90	10
1_00012506_01000469	0.574074	91	10
1_00016532_01322545	0.572414	92	10
1_00020060_01604783	0.569736	93	10
1_00008750_00699959	0.56964	94	10
1_00008801_00704059	0.56964	95	10
1_00010415_00833138	0.56964	96	10
1_00015472_01237711	0.56964	97	10
1_00022052_01764108	0.56964	98	10
1_00001408_00112600	0.564815	99	10
1_00001408_00112637	0.564815	100	10
1_00014402_01152148	0.564815	101	10
1_00007856_00628434	0.563377	102	10
1_00015608_01248573	0.560061	103	10
1_00011570_00925535	0.559294	104	10
1_00016743_01339390	0.557002	105	10
1_00013168_01053438	0.553806	106	10
1_00015182_01214494	0.549174	107	10
1_00011791_00943252	0.545057	108	10
1_00013401_01072018	0.545057	109	10
1_00018292_01463289	0.545057	110	10
1_00020060_01604754	0.545057	111	10
1_00022959_01836679	0.545057	112	10
1_00008750_00699933	0.541149	113	10
1_00015911_01272859	0.536308	114	10
1_00019941_01595273	0.536308	115	10
1_00008303_00664193	0.535524	116	10
1_00000798_00063812	0.535354	117	10
1_00019248_01539819	0.529501	118	10
1_00002073_00165776	0.52862	119	10
1_00010752_00860107	0.52862	120	10
1_00016944_01355462	0.52862	121	10
1_00000099_00007854	0.525253	122	10
1_00000457_00036498	0.525253	123	10
1_00006691_00535212	0.525253	124	10
1_00007394_00591478	0.525253	125	10
1_00018385_01470785	0.525	126	10
1_00014733_01178622	0.520958	127	10
1_00018484_01478671	0.520741	128	10
1_00018484_01478681	0.520741	129	10
1_00010318_00825422	0.520202	130	10
1_00012476_00998043	0.520202	131	10
1_00015058_01204638	0.520202	132	10
1_00015757_01260529	0.520202	133	10
1_00016018_01281409	0.520202	134	10
1_00017030_01362396	0.520202	135	10
1_00019635_01570748	0.520202	136	10
1_00007133_00570630	0.515152	137	10
1_00018755_01500359	0.515152	138	10
1_00021593_01727416	0.515152	139	10
1_00014752_01180108	0.514908	140	10
1_00005317_00425332	0.514403	141	10
1_00016081_01286435	0.514403	142	10
1_00022715_01817147	0.514403	143	10
1_00012437_00994903	0.510232	144	10
1_00005122_00409741	0.509804	145	10
1_00005375_00429975	0.509804	146	10
1_00007349_00587913	0.509804	147	10
1_00013622_01089699	0.509804	148	10
1_00012946_01035643	0.506173	149	10
1_00012946_01035644	0.506173	150	10
1_00018876_01510081	0.506173	151	10
1_00008405_00672378	0.501634	152	10
1_00022972_01837743	0.500942	153	10
1_00012298_00983827	0.499816	154	10
1_00008771_00701663	0.499722	155	10
1_00010823_00865840	0.49928	156	10
1_00000852_00068129	0.497942	157	10
1_00020858_01668639	0.497942	158	10
1_00023469_01877472	0.496403	159	10
1_00012721_01017631	0.491525	160	10
1_00020817_01665316	0.491525	161	10
1_00003388_00271041	0.488889	162	10
1_00005061_00404830	0.488889	163	10
1_00013404_01072276	0.488889	164	10
1_00018879_01510316	0.488889	165	10
1_00018879_01510319	0.488889	166	10
1_00018202_01456129	0.487618	167	10
1_00001122_00089701	0.482109	168	10
1_00012474_00997881	0.482109	169	10
1_00016178_01294184	0.482109	170	10
1_00017876_01430066	0.482109	171	10
1_00009280_00742393	0.477778	172	10
1_00019364_01549074	0.477778	173	10
1_00020805_01664390	0.477778	174	10
1_00004026_00322051	0.477651	175	10
1_00002425_00193981	0.475302	176	10
1_00020933_01674576	0.475302	177	10
1_00003326_00266023	0.472693	178	10
1_00004497_00359691	0.472693	179	10
1_00007021_00561649	0.472693	180	10
1_00021078_01686196	0.472353	181	10
1_00020448_01635834	0.471326	182	10
1_00007931_00634432	0.468863	183	10
1_00000044_00003494	0.466667	184	10
1_00005441_00435273	0.466667	185	10
1_00005534_00442716	0.466667	186	10
1_00006870_00549576	0.466667	187	10
1_00006912_00552942	0.466667	188	10
1_00009325_00745971	0.466667	189	10
1_00010272_00821728	0.466667	190	10
1_00012487_00998918	0.466667	191	10
1_00012781_01022446	0.466667	192	10
1_00017823_01425787	0.466667	193	10
1_00019179_01534265	0.466667	194	10
1_00019179_01534272	0.466667	195	10
1_00018065_01445150	0.463011	196	10
1_00004567_00365332	0.462563	197	10
1_00016013_01280991	0.462563	198	10
1_00019928_01594228	0.462563	199	10
1_00021615_01729160	0.462366	200	10
1_00022610_01808753	0.462366	201	10
1_00010066_00805280	0.458333	202	10
1_00004126_00330013	0.455556	203	10
1_00009513_00761002	0.455556	204	10
1_00009997_00799735	0.455556	205	10
1_00018968_01517373	0.455556	206	10
1_00005760_00460774	0.453902	207	10
1_00015888_01271033	0.453405	208	10
1_00009628_00770226	0.453125	209	10
1_00019589_01567097	0.453125	210	10
1_00011799_00943868	0.451967	211	10
1_00018067_01445329	0.451821	212	10
1_00003071_00245652	0.451097	213	10
1_00017278_01382185	0.449541	214	10
1_00017585_01406778	0.449541	215	10
1_00001567_00125291	0.444444	216	10
1_00001567_00125331	0.444444	217	10
1_00001737_00138890	0.444444	218	10
1_00001737_00138897	0.444444	219	10
1_00004574_00365910	0.444444	220	10
1_00007485_00598799	0.444444	221	10
1_00007511_00600842	0.444444	222	10
1_00011118_00889375	0.444444	223	10
1_00013060_01044738	0.444444	224	10
1_00014757_01180524	0.444444	225	10
1_00014757_01180557	0.444444	226	10
1_00014757_01180559	0.444444	227	10
1_00014757_01180560	0.444444	228	10
1_00017101_01368033	0.444444	229	10
1_00018890_01511182	0.444444	230	10
1_00019416_01553236	0.444444	231	10
1_00019416_01553237	0.444444	232	10
1_00020563_01645032	0.444444	233	10
1_00021547_01723754	0.444444	234	10
1_00021589_01727108	0.444444	235	10
1_00022828_01826206	0.444444	236	10
1_00006884_00550702	0.441458	237	10
1_00006884_00550703	0.441458	238	10
1_00008292_00663330	0.441458	239	10
1_00012918_01033403	0.441458	240	10
1_00015859_01268666	0.440805	241	10
1_00005478_00438209	0.440471	242	10
1_00002996_00239615	0.439348	243	10
1_00003330_00266383	0.439348	244	10
1_00008224_00657854	0.439348	245	10
1_00008521_00681620	0.439348	246	10
1_00008521_00681643	0.439348	247	10
1_00009739_00779120	0.439348	248	10
1_00018351_01468063	0.439348	249	10
1_00018351_01468064	0.439348	250	10
1_00021317_01705313	0.439348	251	10
1_00022573_01805819	0.439348	252	10
1_00005289_00423119	0.438839	253	10
1_00013043_01043402	0.438839	254	10
1_00020398_01631837	0.4375	255	10
1_00011151_00892025	0.435897	256	10
1_00016431_01314453	0.435897	257	10
1_00019004_01520297	0.435897	258	10
1_00009662_00772953	0.435764	259	10
1_00015420_01233539	0.435764	260	10
1_00018050_01443968	0.435764	261	10
1_00001550_00123980	0.432099	262	10
1_00001770_00141581	0.432099	263	10
1_00001770_00141584	0.432099	264	10
1_00002181_00174416	0.432099	265	10
1_00003893_00311438	0.432099	266	10
1_00009280_00742354	0.432099	267	10
1_00009304_00744295	0.432099	268	10
1_00011743_00939374	0.432099	269	10
1_00012888_01030982	0.432099	270	10
1_00014274_01141900	0.432099	271	10
1_00016044_01283477	0.432099	272	10
1_00016302_01304160	0.432099	273	10
1_00018732_01498508	0.432099	274	10
1_00020924_01673864	0.432099	275	10
1_00021256_01700422	0.432099	276	10
1_00021256_01700426	0.432099	277	10
1_00022885_01830759	0.432099	278	10
1_00002712_00216943	0.429154	279	10
1_00002812_00224928	0.429154	280	10
1_00002953_00236212	0.429154	281	10
1_00003512_00280912	0.429154	282	10
1_00004287_00342905	0.429154	283	10
1_00004792_00383334	0.429154	284	10
1_00009768_00781386	0.429154	285	10
1_00010325_00825966	0.429154	286	10
1_00010358_00828585	0.429154	287	10
1_00010672_00853752	0.429154	288	10
1_00010672_00853756	0.429154	289	10
1_00012534_01002698	0.429154	290	10
1_00015686_01254850	0.429154	291	10
1_00016512_01320934	0.429154	292	10
1_00016925_01353946	0.429154	293	10
1_00013515_01081129	0.42735	294	10
1_00007702_00616119	0.422694	295	10
1_00010779_00862321	0.422694	296	10
1_00017090_01367157	0.422694	297	10
1_00016502_01320142	0.420671	298	10
1_00002908_00232637	0.419753	299	10
1_00002908_00232638	0.419753	300	10
1_00003866_00309259	0.419753	301	10
1_00005711_00456822	0.419753	302	10
1_00007604_00608286	0.419753	303	10
1_00007604_00608295	0.419753	304	10
1_00007754_00620249	0.419753	305	10
1_00011047_00883737	0.419753	306	10
1_00012989_01039090	0.419753	307	10
1_00013280_01062387	0.419753	308	10
1_00015087_01206906	0.419753	309	10
1_00015701_01256026	0.419753	310	10
1_00015749_01259891	0.419753	311	10
1_00017077_01366114	0.419753	312	10
1_00018417_01473360	0.419753	313	10
1_00018439_01475051	0.419753	314	10
1_00018923_01513831	0.419753	315	10
1_00019589_01567101	0.419753	316	10
1_00021709_01736657	0.419753	317	10
1_00001318_00105412	0.41896	318	10
1_00004284_00342680	0.41896	319	10
1_00008867_00709336	0.41896	320	10
1_00013198_01055839	0.41896	321	10
1_00015833_01266578	0.41896	322	10
1_00016843_01347387	0.41896	323	10
1_00016843_01347403	0.41896	324	10
1_00018292_01463351	0.41896	325	10
1_00013104_01048304	0.415709	326	10
1_00004567_00365288	0.415332	327	10
1_00007889_00631099	0.415332	328	10
1_00007889_00631121	0.415332	329	10
1_00019427_01554099	0.415332	330	10
1_00004527_00362131	0.411354	331	10
1_00008549_00683903	0.411354	332	10
1_00024296_01943673	0.408317	333	10
1_00004182_00334524	0.408035	334	10
1_00005060_00404789	0.407407	335	10
1_00011854_00948294	0.407407	336	10
1_00014845_01187566	0.407407	337	10
1_00014845_01187581	0.407407	338	10
1_00015199_01215885	0.407407	339	10
1_00016580_01326363	0.407407	340	10
1_00021273_01701816	0.407407	341	10
1_00010110_00808795	0.40625	342	10
1_00010110_00808799	0.40625	343	10
1_00011094_00887515	0.40613	344	10
1_00020817_01665331	0.40613	345	10
1_00021560_01724789	0.40613	346	10
1_00018013_01440993	0.405645	347	10
1_00003031_00242445	0.404523	348	10
1_00012985_01038795	0.404523	349	10
1_00014704_01176295	0.404523	350	10
1_00006608_00528595	0.402875	351	10
1_00010771_00861608	0.402875	352	10
1_00024065_01925178	0.397182	353	10
1_00008458_00676604	0.396552	354	10
1_00016291_01303215	0.396552	355	10
1_00016291_01303216	0.396552	356	10
1_00016291_01303259	0.396552	357	10
1_00011443_00915392	0.395062	358	10
1_00013392_01071345	0.393939	359	10
1_00021091_01687266	0.393939	360	10
1_00021646_01731664	0.393939	361	10
1_00005410_00432766	0.391126	362	10
1_00019822_01585741	0.391126	363	10
1_00021750_01739964	0.391126	364	10
1_00003606_00288441	0.390005	365	10
1_00011977_00958111	0.388889	366	10
1_00012139_00971057	0.388889	367	10
1_00013195_01055539	0.388889	368	10
1_00013195_01055560	0.388889	369	10
1_00017028_01362206	0.388889	370	10
1_00020535_01642747	0.388889	371	10
1_00022942_01835324	0.388889	372	10
1_00012932_01034511	0.386973	373	10
1_00015053_01204205	0.386973	374	10
1_00017233_01378597	0.386973	375	10
1_00019939_01595115	0.386973	376	10
1_00024603_01968203	0.386666	377	10
1_00024603_01968217	0.386666	378	10
1_00012165_00973149	0.384757	379	10
1_00016105_01288335	0.384757	380	10
1_00016105_01288338	0.384757	381	10
1_00016105_01288366	0.384757	382	10
1_00016368_01309422	0.384757	383	10
1_00016580_01326336	0.384757	384	10
1_00017043_01363379	0.384757	385	10
1_00017043_01363380	0.384757	386	10
1_00020311_01624881	0.384757	387	10
1_00000357_00028552	0.38172	388	10
1_00007349_00587858	0.38172	389	10
1_00012640_01011168	0.38172	390	10
1_00012640_01011174	0.38172	391	10
1_00015389_01231089	0.38172	392	10
1_00021154_01692310	0.38172	393	10
1_00012723_01017770	0.379839	394	10
1_00000922_00073741	0.377778	395	10
1_00003892_00311360	0.377778	396	10
1_00005802_00464128	0.377778	397	10
1_00006934_00554716	0.377778	398	10
1_00010454_00836314	0.377778	399	10
1_00012507_01000544	0.377778	400	10
1_00013774_01101890	0.377778	401	10
1_00017440_01395150	0.377778	402	10
1_00019223_01537793	0.377778	403	10
1_00019821_01585681	0.377778	404	10
1_00021789_01743121	0.377778	405	10
1_00022864_01829120	0.377778	406	10
1_00024308_01944638	0.377778	407	10
1_00024308_01944640	0.377778	408	10
1_00024308_01944641	0.377778	409	10
1_00004159_00332686	0.375729	410	10
1_00005347_00427732	0.375574	411	10
1_00005347_00427733	0.375574	412	10
1_00005749_00459850	0.375574	413	10
1_00005804_00464249	0.375574	414	10
1_00012621_01009617	0.375574	415	10
1_00012621_01009628	0.375574	416	10
1_00014405_01152329	0.375574	417	10
1_00016542_01323290	0.375574	418	10
1_00001262_00100911	0.375	419	10
1_00001737_00138919	0.375	420	10
1_00001746_00139610	0.375	421	10
1_00002451_00196015	0.375	422	10
1_00003551_00284023	0.375	423	10
1_00005179_00414316	0.375	424	10
1_00005785_00462752	0.375	425	10
1_00006287_00502926	0.375	426	10
1_00007033_00562601	0.375	427	10
1_00007440_00595145	0.375	428	10
1_00008281_00662480	0.375	429	10
1_00011487_00918895	0.375	430	10
1_00013368_01069398	0.375	431	10
1_00016044_01283473	0.375	432	10
1_00016348_01307841	0.375	433	10
1_00016604_01328254	0.375	434	10
1_00017485_01398780	0.375	435	10
1_00017670_01413564	0.375	436	10
1_00018826_01506040	0.375	437	10
1_00022532_01802530	0.375	438	10
1_00007478_00598201	0.37276	439	10
1_00009921_00793633	0.37276	440	10
1_00010044_00803503	0.37276	441	10
1_00010044_00803514	0.37276	442	10
1_00014348_01147785	0.37276	443	10
1_00015215_01217175	0.37276	444	10
1_00018292_01463346	0.37276	445	10
1_00020338_01626992	0.37276	446	10
1_00021094_01687466	0.37276	447	10
1_00023038_01843023	0.37276	448	10
1_00013885_01110786	0.372646	449	10
1_00000193_00015403	0.372515	450	10
1_00005438_00435001	0.372515	451	10
1_00008365_00669129	0.372515	452	10
1_00021402_01712131	0.372515	453	10
1_00013541_01083216	0.372184	454	10
1_00008808_00704590	0.368889	455	10
1_00010079_00806257	0.368889	456	10
1_00009279_00742292	0.367884	457	10
1_00019856_01588445	0.367347	458	10
1_00000172_00013749	0.366667	459	10
1_00000323_00025778	0.366667	460	10
1_00002073_00165789	0.366667	461	10
1_00002090_00167181	0.366667	462	10
1_00004116_00329266	0.366667	463	10
1_00010023_00801825	0.366667	464	10
1_00010026_00802046	0.366667	465	10
1_00010790_00863148	0.366667	466	10
1_00010790_00863151	0.366667	467	10
1_00011294_00903449	0.366667	468	10
1_00015054_01204270	0.366667	469	10
1_00019550_01563929	0.366667	470	10
1_00022829_01826303	0.366667	471	10
1_00000705_00056353	0.366391	472	10
1_00003065_00245200	0.366391	473	10
1_00004762_00380942	0.366391	474	10
1_00008303_00664204	0.365319	475	10
1_00001726_00138044	0.363799	476	10
1_00004308_00344613	0.363799	477	10
1_00008199_00655900	0.363799	478	10
1_00008758_00700638	0.363799	479	10
1_00011365_00909140	0.363799	480	10
1_00016743_01339402	0.363799	481	10
1_00017381_01390476	0.363799	482	10
1_00019612_01568912	0.36214	483	10
1_00000295_00023564	0.361111	484	10
1_00001120_00089531	0.361111	485	10
1_00001586_00126856	0.361111	486	10
1_00002176_00174035	0.361111	487	10
1_00004626_00370058	0.361111	488	10
1_00005462_00436895	0.361111	489	10
1_00006914_00553077	0.361111	490	10
1_00008600_00687930	0.361111	491	10
1_00011020_00881559	0.361111	492	10
1_00011020_00881578	0.361111	493	10
1_00012171_00973679	0.361111	494	10
1_00012368_00989426	0.361111	495	10
1_00012467_00997355	0.361111	496	10
1_00012714_01017078	0.361111	497	10
1_00013222_01057754	0.361111	498	10
1_00013978_01118201	0.361111	499	10
1_00014723_01177782	0.361111	500	10
1_00017976_01438028	0.361111	501	10
1_00019051_01524014	0.361111	502	10
1_00019124_01529866	0.361111	503	10
1_00019837_01586905	0.361111	504	10
1_00007408_00592584	0.361085	505	10
1_00010309_00824708	0.360696	506	10
1_00018065_01445164	0.360696	507	10
1_00015126_01210030	0.36	508	10
1_00007985_00638742	0.356033	509	10
1_00009200_00735940	0.356033	510	10
1_00018212_01456937	0.356033	511	10
1_00020914_01673069	0.356033	512	10
1_00009405_00752400	0.355556	513	10
1_00018664_01493078	0.355556	514	10
1_00023072_01845691	0.355556	515	10
1_00023072_01845759	0.355556	516	10
1_00023072_01845760	0.355556	517	10
1_00007484_00598673	0.35506	518	10
1_00019205_01536398	0.354839	519	10
1_00001613_00129025	0.351852	520	10
1_00002606_00208461	0.351852	521	10
1_00003995_00319550	0.351852	522	10
1_00005456_00436463	0.351852	523	10
1_00010866_00869222	0.351852	524	10
1_00013949_01115867	0.351852	525	10
1_00017670_01413599	0.351852	526	10
1_00019557_01564507	0.351852	527	10
1_00019643_01571408	0.351852	528	10
1_00020486_01638837	0.35102	529	10
1_00010020_00801596	0.348959	530	10
1_00006456_00516413	0.347813	531	10
1_00000126_00010052	0.347222	532	10
1_00006973_00557818	0.347222	533	10
1_00007553_00604237	0.347222	534	10
1_00008031_00642417	0.347222	535	10
1_00008867_00709348	0.347222	536	10
1_00009941_00795220	0.347222	537	10
1_00012191_00975253	0.347222	538	10
1_00014448_01155806	0.347222	539	10
1_00016195_01295557	0.347222	540	10
1_00019166_01533260	0.347222	541	10
1_00007182_00574534	0.341564	542	10
1_00007182_00574541	0.341564	543	10
1_00008500_00679963	0.341564	544	10
1_00015943_01275433	0.341564	545	10
1_00016616_01329258	0.341564	546	10
1_00018656_01492461	0.341564	547	10
1_00018768_01501386	0.341564	548	10
1_00022241_01779276	0.341564	549	10
1_00014774_01181873	0.339286	550	10
1_00018385_01470740	0.339286	551	10
1_00021020_01681551	0.339286	552	10
1_00008978_00718169	0.337232	553	10
1_00008136_00650881	0.334169	554	10
1_00001838_00147041	0.333333	555	10
1_00002461_00196853	0.333333	556	10
1_00002823_00225808	0.333333	557	10
1_00005007_00400560	0.333333	558	10
1_00008377_00670097	0.333333	559	10
1_00013372_01069714	0.333333	560	10
1_00014096_01127661	0.333333	561	10
1_00016253_01300220	0.333333	562	10
1_00016821_01345668	0.333333	563	10
1_00018279_01462286	0.333333	564	10
1_00018694_01495453	0.333333	565	10
1_00021197_01695714	0.333333	566	10
1_00021883_01750610	0.333333	567	10
1_00022197_01775725	0.333333	568	10
1_00022898_01831784	0.333333	569	10
1_00002944_00235449	0.331276	570	10
1_00003973_00317798	0.331276	571	10
1_00004670_00373581	0.331276	572	10
1_00010785_00862801	0.331276	573	10
1_00011281_00902475	0.331276	574	10
1_00012210_00976752	0.331276	575	10
1_00014001_01120076	0.331276	576	10
1_00014392_01151294	0.331276	577	10
1_00016358_01308638	0.331276	578	10
1_00017976_01438049	0.331276	579	10
1_00021589_01727060	0.331276	580	10
1_00021866_01749251	0.331276	581	10
1_00022052_01764133	0.331276	582	10
1_00022052_01764145	0.331276	583	10
1_00001461_00116862	0.331154	584	10
1_00008436_00674864	0.330218	585	10
1_00015069_01205509	0.330218	586	10
1_00002197_00175694	0.329462	587	10
1_00002197_00175758	0.329462	588	10
1_00000656_00052468	0.329045	589	10
1_00003011_00240850	0.328449	590	10
1_00005386_00430856	0.328449	591	10
1_00005758_00460635	0.328449	592	10
1_00006666_00533247	0.328449	593	10
1_00008546_00683645	0.328449	594	10
1_00009791_00783235	0.328449	595	10
1_00013121_01049678	0.328449	596	10
1_00013207_01056511	0.328449	597	10
1_00014503_01160199	0.328449	598	10
1_00016882_01350497	0.328449	599	10
1_00018540_01483189	0.328449	600	10
1_00008212_00656926	0.327485	601	10
1_00010117_00809292	0.327485	602	10
1_00010117_00809293	0.327485	603	10
1_00010117_00809346	0.327485	604	10
1_00010482_00838502	0.327485	605	10
1_00013313_01065003	0.327485	606	10
1_00013892_01111302	0.327485	607	10
1_00015378_01230210	0.327485	608	10
1_00016939_01355103	0.327485	609	10
1_00017440_01395144	0.327485	610	10
1_00017440_01395174	0.327485	611	10
1_00006953_00556197	0.326167	612	10
1_00007703_00616193	0.326167	613	10
1_00018419_01473487	0.322034	614	10
1_00017757_01420560	0.321291	615	10
1_00008907_00712493	0.321188	616	10
1_00012723_01017780	0.321188	617	10
1_00020302_01624128	0.32099	618	10
1_00004742_00379329	0.320988	619	10
1_00011285_00902773	0.320988	620	10
1_00019488_01558990	0.320988	621	10
1_00021480_01718387	0.320427	622	10
1_00017010_01360782	0.31937	623	10
1_00000678_00054239	0.317739	624	10
1_00000696_00055623	0.317739	625	10
1_00003404_00272268	0.317739	626	10
1_00005265_00421199	0.317739	627	10
1_00005860_00468736	0.317739	628	10
1_00011150_00891967	0.317739	629	10
1_00011640_00931162	0.317739	630	10
1_00013237_01058960	0.317739	631	10
1_00017230_01378343	0.317739	632	10
1_00020773_01661793	0.317739	633	10
1_00021819_01745472	0.317739	634	10
1_00021879_01750270	0.317739	635	10
1_00022029_01762258	0.317739	636	10
1_00000052_00004122	0.31746	637	10
1_00000945_00075535	0.31746	638	10
1_00001244_00099479	0.31746	639	10
1_00002073_00165819	0.31746	640	10
1_00002073_00165835	0.31746	641	10
1_00002241_00179220	0.31746	642	10
1_00002795_00223577	0.31746	643	10
1_00003659_00292661	0.31746	644	10
1_00003933_00314616	0.31746	645	10
1_00004344_00347506	0.31746	646	10
1_00004625_00369941	0.31746	647	10
1_00004937_00394938	0.31746	648	10
1_00005146_00411619	0.31746	649	10
1_00005387_00430916	0.31746	650	10
1_00005758_00460620	0.31746	651	10
1_00006230_00498385	0.31746	652	10
1_00006230_00498389	0.31746	653	10
1_00006587_00526950	0.31746	654	10
1_00007892_00631345	0.31746	655	10
1_00008984_00718659	0.31746	656	10
1_00009716_00777275	0.31746	657	10
1_00010037_00802906	0.31746	658	10
1_00010088_00806981	0.31746	659	10
1_00010098_00807778	0.31746	660	10
1_00010425_00833947	0.31746	661	10
1_00010873_00869791	0.31746	662	10
1_00010901_00872076	0.31746	663	10
1_00011005_00880349	0.31746	664	10
1_00011178_00894189	0.31746	665	10
1_00011296_00903649	0.31746	666	10
1_00011517_00921297	0.31746	667	10
1_00011551_00924074	0.31746	668	10
1_00011919_00953471	0.31746	669	10
1_00012138_00971007	0.31746	670	10
1_00012324_00985895	0.31746	671	10
1_00012388_00991020	0.31746	672	10
1_00012970_01037537	0.31746	673	10
1_00013363_01069011	0.31746	674	10
1_00013621_01089625	0.31746	675	10
1_00013897_01111734	0.31746	676	10
1_00013985_01118761	0.31746	677	10
1_00013985_01118776	0.31746	678	10
1_00013985_01118779	0.31746	679	10
1_00013985_01118791	0.31746	680	10
1_00014001_01120079	0.31746	681	10
1_00014292_01143346	0.31746	682	10
1_00014307_01144494	0.31746	683	10
1_00014350_01147999	0.31746	684	10
1_00014535_01162774	0.31746	685	10
1_00014723_01177812	0.31746	686	10
1_00014885_01190772	0.31746	687	10
1_00015686_01254880	0.31746	688	10
1_00016971_01357616	0.31746	689	10
1_00017074_01365921	0.31746	690	10
1_00017351_01388057	0.31746	691	10
1_00018075_01445972	0.31746	692	10
1_00018167_01453348	0.31746	693	10
1_00018773_01501810	0.31746	694	10
1_00018969_01517514	0.31746	695	10
1_00019473_01557813	0.31746	696	10
1_00019835_01586749	0.31746	697	10
1_00020479_01638310	0.31746	698	10
1_00020539_01643115	0.31746	699	10
1_00021100_01687969	0.31746	700	10
1_00021722_01737720	0.31746	701	10
1_00022104_01768314	0.31746	702	10
1_00022584_01806691	0.31746	703	10
1_00022793_01823388	0.31746	704	10
1_00000103_00008205	0.316239	705	10
1_00000247_00019726	0.316239	706	10
1_00002090_00167163	0.316239	707	10
1_00003068_00245425	0.316239	708	10
1_00003595_00287567	0.316239	709	10
1_00004214_00337071	0.316239	710	10
1_00005494_00439469	0.316239	711	10
1_00011058_00884623	0.316239	712	10
1_00011155_00892401	0.316239	713	10
1_00011393_00911409	0.316239	714	10
1_00012121_00969635	0.316239	715	10
1_00012121_00969638	0.316239	716	10
1_00012121_00969656	0.316239	717	10
1_00012121_00969657	0.316239	718	10
1_00012165_00973178	0.316239	719	10
1_00013755_01100350	0.316239	720	10
1_00014079_01126266	0.316239	721	10
1_00014168_01133417	0.316239	722	10
1_00015150_01211935	0.316239	723	10
1_00017620_01409556	0.316239	724	10
1_00020338_01627033	0.316239	725	10
1_00020719_01657461	0.316239	726	10
1_00021121_01689617	0.316239	727	10
1_00023008_01840613	0.316239	728	10
1_00020109_01608649	0.315701	729	10
1_00012298_00983831	0.315597	730	10
1_00012238_00979037	0.314815	731	10
1_00012238_00979040	0.314815	732	10
1_00022841_01827211	0.314815	733	10
1_00002740_00219198	0.312618	734	10
1_00005089_00407084	0.312618	735	10
